"URDMU1LC.Code.or.Value","URDMU1LC.Value.Description","URDMU1LC.Count","URDMU1LC.Cumulative","URDMU1LC.Skip.to.Item"
"0","At or above the detection limit",2714,2714,NA
"1","Below lower detection limit",0,2714,NA
".","Missing",117,2831,NA
