"DS1IMAGN.Code.or.Value","DS1IMAGN.Value.Description","DS1IMAGN.Count","DS1IMAGN.Cumulative","DS1IMAGN.Skip.to.Item"
"1 to 1200","Range of Values",1299,1299,NA
".","Missing",4395,5694,NA
