"DXXLRA.Code.or.Value","DXXLRA.Value.Description","DXXLRA.Count","DXXLRA.Cumulative","DXXLRA.Skip.to.Item"
"51.27 to 199.47","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
