"SSBCPPL.Code.or.Value","SSBCPPL.Value.Description","SSBCPPL.Count","SSBCPPL.Cumulative","SSBCPPL.Skip.to.Item"
"0","At or above the detection limit",1400,1400,NA
"1","Below lower detection limit",916,2316,NA
".","Missing",1,2317,NA
