"DXXOFBMC.Code.or.Value","DXXOFBMC.Value.Description","DXXOFBMC.Count","DXXOFBMC.Cumulative","DXXOFBMC.Skip.to.Item"
"7.54 to 83.85","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
