"LBXS06MK.Code.or.Value","LBXS06MK.Value.Description","LBXS06MK.Count","LBXS06MK.Cumulative","LBXS06MK.Skip.to.Item"
"1","Positive",417,417,NA
"2","Negative",2875,3292,NA
".","Missing",261,3553,NA
