"DR1TVARA.Code.or.Value","DR1TVARA.Value.Description","DR1TVARA.Count","DR1TVARA.Cumulative","DR1TVARA.Skip.to.Item"
"0 to 14973","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
