"DEX1PSAL.Code.or.Value","DEX1PSAL.Value.Description","DEX1PSAL.Count","DEX1PSAL.Cumulative","DEX1PSAL.Skip.to.Item"
"1","Present",18,18,NA
".","Missing",2974,2992,NA
