"SMQ640.Code.or.Value","SMQ640.Value.Description","SMQ640.Count","SMQ640.Cumulative","SMQ640.Skip.to.Item"
"0 to 30","Range of Values",691,691,NA
"77","Refused",0,691,NA
"99","Don't  Know",1,692,NA
".","Missing",6066,6758,NA
