"DBQ235A.Code.or.Value","DBQ235A.Value.Description","DBQ235A.Count","DBQ235A.Cumulative","DBQ235A.Skip.to.Item"
"0","Never",144,144,NA
"1","Rarely-less than once a week",240,384,NA
"2","Sometimes-once a week or more, but less than once a day",684,1068,NA
"3","Often-once a day or more",3177,4245,NA
"4","Varied",12,4257,NA
"7","Refused",0,4257,NA
"9","Don't know",33,4290,NA
".","Missing",5681,9971,NA
