"DR1TS080.Code.or.Value","DR1TS080.Value.Description","DR1TS080.Count","DR1TS080.Cumulative","DR1TS080.Skip.to.Item"
"0 to 12.496","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
