"AUXLR220.Code.or.Value","AUXLR220.Value.Description","AUXLR220.Count","AUXLR220.Cumulative","AUXLR220.Skip.to.Item"
"-28 to 64","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
