"AUXRR132.Code.or.Value","AUXRR132.Value.Description","AUXRR132.Count","AUXRR132.Cumulative","AUXRR132.Skip.to.Item"
"-35 to 46","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
