"WBXP025.Code.or.Value","WBXP025.Value.Description","WBXP025.Count","WBXP025.Cumulative","WBXP025.Skip.to.Item"
"-44.1333 to 163.5168","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
