"WTIREP51.Code.or.Value","WTIREP51.Value.Description","WTIREP51.Count","WTIREP51.Cumulative","WTIREP51.Skip.to.Item"
"0 to 236648.97986","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
