"DRXTP183.Code.or.Value","DRXTP183.Value.Description","DRXTP183.Count","DRXTP183.Cumulative","DRXTP183.Skip.to.Item"
"0 to 11.88","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
