"URDTNE6.Code.or.Value","URDTNE6.Value.Description","URDTNE6.Count","URDTNE6.Cumulative","URDTNE6.Skip.to.Item"
"0.2622 to 418.4","Range of Values",553,553,NA
".","Missing",2726,3279,NA
