"LBDHXCLC.Code.or.Value","LBDHXCLC.Value.Description","LBDHXCLC.Count","LBDHXCLC.Cumulative","LBDHXCLC.Skip.to.Item"
"0","detectable result",1084,1084,NA
"1","below detectable limit",139,1223,NA
".","Missing",1324,2547,NA
