"MGXH2T2.Code.or.Value","MGXH2T2.Value.Description","MGXH2T2.Count","MGXH2T2.Cumulative","MGXH2T2.Skip.to.Item"
"5 to 83.8","Range of Values",7066,7066,NA
".","Missing",755,7821,NA
