"URDBPHLC.Code.or.Value","URDBPHLC.Value.Description","URDBPHLC.Count","URDBPHLC.Cumulative","URDBPHLC.Skip.to.Item"
"0","At or above the detection limit",2528,2528,NA
"1","Below lower detection limit",221,2749,NA
".","Missing",70,2819,NA
