"OSQ090h.Code.or.Value","OSQ090h.Value.Description","OSQ090h.Count","OSQ090h.Cumulative","OSQ090h.Skip.to.Item"
"1","Yes",3,3,NA
"2","No",0,3,NA
"7","Refused",0,3,NA
"9","Don't know",0,3,NA
".","Missing",6215,6218,NA
