"WHD080S.Code.or.Value","WHD080S.Value.Description","WHD080S.Count","WHD080S.Cumulative","WHD080S.Skip.to.Item"
"45","Ate less sugar, candy, sweets",1178,1178,NA
".","Missing",5149,6327,NA
