"TYXA120.Code.or.Value","TYXA120.Value.Description","TYXA120.Count","TYXA120.Cumulative","TYXA120.Skip.to.Item"
"0.09 to 6.5","Range of Values",5390,5390,NA
".","Missing",195,5585,NA
