"CIQP11.Code.or.Value","CIQP11.Value.Description","CIQP11.Count","CIQP11.Cumulative","CIQP11.Skip.to.Item"
"1","Yes",19,19,""
"2","No",99,118,"CIQP13A"
"7","Refused",0,118,""
"9","Don't know",0,118,""
".","Missing",810,928,""
