"LBXSBU.Code.or.Value","LBXSBU.Value.Description","LBXSBU.Count","LBXSBU.Cumulative","LBXSBU.Skip.to.Item"
"1 to 98","Range of Values",6434,6434,NA
".","Missing",546,6980,NA
