"MCQ160J.Code.or.Value","MCQ160J.Value.Description","MCQ160J.Count","MCQ160J.Cumulative","MCQ160J.Skip.to.Item"
"1","Yes",1440,1440,NA
"2","No",3436,4876,NA
"7","Refused",0,4876,NA
"9","Don't know",4,4880,NA
".","Missing",4613,9493,NA
