"MCQ250F.Code.or.Value","MCQ250F.Value.Description","MCQ250F.Count","MCQ250F.Cumulative","MCQ250F.Skip.to.Item"
"1","Yes",1478,1478,"MCQ260FA"
"2","No",3298,4776,""
"7","Refused",0,4776,""
"9","Don't know",264,5040,""
".","Missing",4605,9645,""
