"BIDPFAT.Code.or.Value","BIDPFAT.Value.Description","BIDPFAT.Count","BIDPFAT.Cumulative","BIDPFAT.Skip.to.Item"
"2.1 to 60.2","Range of Values",4159,4159,NA
".","Missing",1170,5329,NA
