"URXOPM.Code.or.Value","URXOPM.Value.Description","URXOPM.Count","URXOPM.Cumulative","URXOPM.Skip.to.Item"
"0.07 to 489.09","Range of Values",2723,2723,NA
".","Missing",108,2831,NA
