"LBXTC2.Code.or.Value","LBXTC2.Value.Description","LBXTC2.Count","LBXTC2.Cumulative","LBXTC2.Skip.to.Item"
"24.47 to 203.51","Range of Values",1215,1215,NA
".","Missing",1332,2547,NA
