"DR2TM161.Code.or.Value","DR2TM161.Value.Description","DR2TM161.Count","DR2TM161.Cumulative","DR2TM161.Skip.to.Item"
"0 to 8.195","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
