"DRXFDCD.Code.or.Value","DRXFDCD.Value.Description","DRXFDCD.Count","DRXFDCD.Cumulative","DRXFDCD.Skip.to.Item"
"11000000 to 94300100","Range of Values",7253,7253,NA
".","Missing",0,7253,NA
