"LBCF08.Code.or.Value","LBCF08.Value.Description","LBCF08.Count","LBCF08.Cumulative","LBCF08.Skip.to.Item"
"2.546 to 99.01","Range of Values",299,299,NA
".","Missing",2,301,NA
