"SDMVSTRA.Code.or.Value","SDMVSTRA.Value.Description","SDMVSTRA.Count","SDMVSTRA.Cumulative","SDMVSTRA.Skip.to.Item"
"14 to 28","Range of Values",11039,11039,NA
".","Missing",0,11039,NA
