"CBD745.Code.or.Value","CBD745.Value.Description","CBD745.Count","CBD745.Cumulative","CBD745.Skip.to.Item"
"1","Always",110,110,NA
"2","Most of the time",288,398,NA
"3","Sometimes",807,1205,NA
"4","Rarely",346,1551,NA
"7","Refused",0,1551,NA
"9","Don't know",2,1553,NA
".","Missing",4469,6022,NA
