"DR2TVB6.Code.or.Value","DR2TVB6.Value.Description","DR2TVB6.Count","DR2TVB6.Cumulative","DR2TVB6.Skip.to.Item"
"0 to 24.503","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
