"DXXBICDE.Code.or.Value","DXXBICDE.Value.Description","DXXBICDE.Count","DXXBICDE.Cumulative","DXXBICDE.Skip.to.Item"
"-0.116 to 0.365","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
