"MCQ300B.Code.or.Value","MCQ300B.Value.Description","MCQ300B.Count","MCQ300B.Cumulative","MCQ300B.Skip.to.Item"
"1","Yes",1810,1810,NA
"2","No",6811,8621,NA
"7","Refused",3,8624,NA
"9","Don't know",189,8813,NA
".","Missing",1296,10109,NA
