"SSDBUPL.Code.or.Value","SSDBUPL.Value.Description","SSDBUPL.Count","SSDBUPL.Cumulative","SSDBUPL.Skip.to.Item"
"0","At or above the detection limit",1863,1863,NA
"1","Below lower detection limit",451,2314,NA
".","Missing",3,2317,NA
