"AUXRR171.Code.or.Value","AUXRR171.Value.Description","AUXRR171.Count","AUXRR171.Cumulative","AUXRR171.Skip.to.Item"
"-9 to 88","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
