"DXXSAY.Code.or.Value","DXXSAY.Value.Description","DXXSAY.Count","DXXSAY.Cumulative","DXXSAY.Skip.to.Item"
"98.4 to 378.7","Range of Values",3295,3295,NA
".","Missing",413,3708,NA
