"CIQG19.Code.or.Value","CIQG19.Value.Description","CIQG19.Count","CIQG19.Cumulative","CIQG19.Skip.to.Item"
"1","Yes",59,59,""
"2","No",28,87,"CIQG21"
"7","Refused",0,87,"CIQG21"
"9","Don't know",4,91,"CIQG21"
".","Missing",687,778,""
