"DSQTTFAT.Code.or.Value","DSQTTFAT.Value.Description","DSQTTFAT.Count","DSQTTFAT.Cumulative","DSQTTFAT.Skip.to.Item"
"0 to 30","Range of Values",561,561,NA
".","Missing",9588,10149,NA
