"MCQ260AD.Code.or.Value","MCQ260AD.Value.Description","MCQ260AD.Count","MCQ260AD.Cumulative","MCQ260AD.Skip.to.Item"
"4","Mother's father",228,228,"MCQ250B"
".","Missing",10242,10470,""
