"LBXDIE.Code.or.Value","LBXDIE.Value.Description","LBXDIE.Count","LBXDIE.Cumulative","LBXDIE.Skip.to.Item"
"0.02 to 4.13","Range of Values",2159,2159,NA
".","Missing",388,2547,NA
