"DR1TATOA.Code.or.Value","DR1TATOA.Value.Description","DR1TATOA.Count","DR1TATOA.Cumulative","DR1TATOA.Skip.to.Item"
"0 to 51.87","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
