"DSQTVB2.Code.or.Value","DSQTVB2.Value.Description","DSQTVB2.Count","DSQTVB2.Cumulative","DSQTVB2.Skip.to.Item"
"0 to 480","Range of Values",2306,2306,NA
".","Missing",7843,10149,NA
