"RFXT097.Code.or.Value","RFXT097.Value.Description","RFXT097.Count","RFXT097.Cumulative","RFXT097.Skip.to.Item"
"840 to 849","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
