"LBXPFDE.Code.or.Value","LBXPFDE.Value.Description","LBXPFDE.Count","LBXPFDE.Cumulative","LBXPFDE.Skip.to.Item"
"0.07 to 51.3","Range of Values",2168,2168,NA
".","Missing",171,2339,NA
