"DXXPT36Y.Code.or.Value","DXXPT36Y.Value.Description","DXXPT36Y.Count","DXXPT36Y.Cumulative","DXXPT36Y.Skip.to.Item"
"62.7 to 302.4","Range of Values",3301,3301,NA
".","Missing",407,3708,NA
