"SSNUCENS.Code.or.Value","SSNUCENS.Value.Description","SSNUCENS.Count","SSNUCENS.Cumulative","SSNUCENS.Skip.to.Item"
"0 to 4","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
