"DBQ235C.Code.or.Value","DBQ235C.Value.Description","DBQ235C.Count","DBQ235C.Cumulative","DBQ235C.Skip.to.Item"
"0","Never",111,111,NA
"1","Rarely-less than once a week",434,545,NA
"2","Sometimes-once a week or more, but less than once a day",1162,1707,NA
"3","Often-once a day or more",2119,3826,NA
"4","Varied",60,3886,NA
"7","Refused",0,3886,NA
"9","Don't know",12,3898,NA
".","Missing",6450,10348,NA
