"URDTIME2.Code.or.Value","URDTIME2.Value.Description","URDTIME2.Count","URDTIME2.Cumulative","URDTIME2.Skip.to.Item"
"9 to 232","Range of Values",1306,1306,NA
".","Missing",7285,8591,NA
