"DR2STY.Code.or.Value","DR2STY.Value.Description","DR2STY.Count","DR2STY.Cumulative","DR2STY.Skip.to.Item"
"1","Yes",1006,1006,""
"2","No",6584,7590,"DR2TKCAL"
"9","Don't know",25,7615,"DR2TKCAL"
".","Missing",2198,9813,""
