"DXXBICRT.Code.or.Value","DXXBICRT.Value.Description","DXXBICRT.Count","DXXBICRT.Cumulative","DXXBICRT.Skip.to.Item"
"0.7 to 1.1","Range of Values",3293,3293,NA
".","Missing",415,3708,NA
