"LBDHDDSI.Code.or.Value","LBDHDDSI.Value.Description","LBDHDDSI.Count","LBDHDDSI.Cumulative","LBDHDDSI.Skip.to.Item"
"0.26 to 4.47","Range of Values",7624,7624,NA
".","Missing",667,8291,NA
