"DS2TVB2.Code.or.Value","DS2TVB2.Value.Description","DS2TVB2.Count","DS2TVB2.Cumulative","DS2TVB2.Skip.to.Item"
"0.002 to 225","Range of Values",1304,1304,NA
".","Missing",8509,9813,NA
