"WTSVOC2Y.Code.or.Value","WTSVOC2Y.Value.Description","WTSVOC2Y.Count","WTSVOC2Y.Cumulative","WTSVOC2Y.Skip.to.Item"
"6703.435144 to 992877.35227","Range of Values",669,669,NA
"0","Non-Respondent",182,851,NA
".","Missing",0,851,NA
