"OSQ030aa.Code.or.Value","OSQ030aa.Value.Description","OSQ030aa.Count","OSQ030aa.Cumulative","OSQ030aa.Skip.to.Item"
"2 to 95","Range of Values",85,85,NA
"77777","Refused",0,85,NA
"99999","Don't know",1,86,NA
".","Missing",5325,5411,NA
