"DR1ICRYP.Code.or.Value","DR1ICRYP.Value.Description","DR1ICRYP.Count","DR1ICRYP.Cumulative","DR1ICRYP.Skip.to.Item"
"0 to 9724","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
