"DIQ300D.Code.or.Value","DIQ300D.Value.Description","DIQ300D.Count","DIQ300D.Cumulative","DIQ300D.Skip.to.Item"
"20 to 140","Range of Values",431,431,NA
"7777","Refused",1,432,NA
"9999","Don't know",337,769,NA
".","Missing",8897,9666,NA
