"SSQ021H.Code.or.Value","SSQ021H.Value.Description","SSQ021H.Count","SSQ021H.Cumulative","SSQ021H.Skip.to.Item"
"17","Co-workers",37,37,NA
".","Missing",3019,3056,NA
