"URDPMMLC.Code.or.Value","URDPMMLC.Value.Description","URDPMMLC.Count","URDPMMLC.Cumulative","URDPMMLC.Skip.to.Item"
"0","At or above the detection limit",2592,2592,NA
"1","Below lower detection limit",1,2593,NA
".","Missing",162,2755,NA
