"AUXRR255.Code.or.Value","AUXRR255.Value.Description","AUXRR255.Count","AUXRR255.Cumulative","AUXRR255.Skip.to.Item"
"-5 to 46","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
